original_name,cleaned_name,Freq,Notes
Lawrence's Goldfinch,,15,
Northern Pygmy-Owl,,15,
Swainson's Warbler,,15,
Whip-poor-will,,15,
White-throated Swift,,15,
Yellow-bellied Flycatcher,,15,
Bluejay,Blue Jay,14,
Brown-headed Nuthatch,,14,
Golden-winged Warbler,,14,
Green Heron,,14,
Loggerhead Shrike,,14,
Mountain Quail,,14,
Redbellied Woodpecker,Red-bellied Woodpecker,14,
Bay-breasted Warbler,,13,
Hooded Merganser,,13,
Redbreasted Nuthatch,Red-breasted Nuthatch,13,
Redtailed Hawk,Red-tailed Hawk,13,
Rubythroated Hummingbird,Ruby-throated Hummingbird,13,
Townsend's Warbler,,13,
Varied Thrush,,13,
American Black Duck,,12,
Black-throated Sparrow,,12,
Blackand-white Warbler,Black-and-white Warbler,12,
Blackthroated Green Warbler,Black-throated Green Warbler,12,
Canyon Wren,,12,
Costa's Hummingbird,,12,
Gray Jay,,12,
Great-crested Flycatcher,Great Crested Flycatcher,12,
Greater Roadrunner,,12,
Hermit Warbler,,12,
Horned Lark,,12,
Rosebreasted Grosbeak,Rose-breasted Grosbeak,12,
Rufous Hummingbird,,12,
Bachman's Sparrow,,11,
Black-throated Gray Warbler,,11,
Black Tern,,11,
Blue-winged Teal,,11,
Gadwall,,11,
Goldencrowned Kinglet,Golden-crowned Kinglet,11,
Redshouldered Hawk,Red-shouldered Hawk,11,
Verdin,,11,
Bluegray Gnatcatcher,Blue-gray Gnatcatcher,10,
Bluewinged Warbler,Blue-winged Warbler,10,
Chestnutsided Warbler,Chestnut-sided Warbler,10,
Common Merganser,,10,
Darkeyed Junco,Dark-eyed Junco,10,
Gambel's Quail,,10,
Tennessee Warbler,,10,
White-headed Woodpecker,,10,
Yellow-headed Blackbird,,10,
Yellowthroated Vireo,Yellow-throated Vireo,10,
Black-billed Magpie,,9,
Boreal Chickadee,,9,
Common Goldeneye,,9,
Dark-eyedjunco,Dark-eyed Junco,9,
Golden Eagle,,9,
Red-breasted Sapsucker,,9,
Ring-billed Gull,,9,
Sedge Wren,,9,
Sora,,9,
Spotted Towhee,,9,
Yellowrumped Warbler,Yellow-rumped Warbler,9,
Barn Owl,,8,
Black-andwhite Warbler,Black-and-white Warbler,8,
Blackthroated Blue Warbler,Black-throated Blue Warbler,8,
Blue Grouse,,8,taxonomy
BlueJay,Blue Jay,8,
Northern Saw-whet Owl,,8,
Red-naped Sapsucker,,8,
Say's Phoebe,,8,
Western Screech-Owl,,8,
Western Scrub-Jay,Western Scrub Jay,8,
Willet,,8,
Bank Swallow,,7,
Black-shouldered Kite,,7,
Broadwinged Hawk,Broad-winged Hawk,7,
Chickadee species,Chickadee sp.,7,
Cinnamon Teal,,7,
Marbled Godwit,,7,
Rufous-crowned Sparrow,,7,
Tricolored Blackbird,,7,
Violetgreen Swallow,Violet-green Swallow,7,
Virginia's Warbler,,7,
Ashthroated Flycatcher,Ash-throated Flycatcher,6,
Bald Eagle,,6,
Black-tailed Gnatcatcher,,6,
Blackbilled Cuckoo,Black-billed Cuckoo,6,
Brown-crested Flycatcher,,6,
Common Moorhen,,6,
Gray Vireo,,6,
Ladder-backed Woodpecker,,6,
Orangecrowned Warbler,Orange-crowned Warbler,6,
Red-cockaded Woodpecker,,6,
Redhead,,6,
Ruddy Duck,,6,
Scrub jay,Scrub Jay,6,taxonomy
Sharpshinned Hawk,Sharp-shinned Hawk,6,
White-winged Crossbill,,6,
Black Vulture,,5,
Brewster's Warbler,,5,
Brownheaded Nuthatch,Brown-headed Nuthatch,5,
Bullock's Oriole,,5,
Cape May Warbler,,5,
Chuck-will's-widow,,5,
Clapper Rail,,5,
Common Ground-Dove,,5,
Double-crested Cormorant,,5,
Hooded Oriole,,5,
Northern (Red-shafted) Flicker,Northern Flicker,5,
Ruby-throath Hummingbird,Ruby-throated Hummingbird,5,
Ruﬂed Grouse,Ruffed Grouse,5,
Scott's Oriole,,5,
Seaside Sparrow,,5,
Snowy Egret,,5,
Spotted Owl,,5,
VVhite-breasted Nuthatch,White-breasted Nuthatch,5,
White-winged Dove,,5,
Whiteeyed Vireo,White-eyed Vireo,5,
Yellowbellied Sapsucker,Yellow-bellied Sapsucker,5,
American Bittern,,4,
Black-backed Woodpecker,,4,
Cactus Wren,,4,
Crissal Thrasher,,4,
Dark-eyedJunco,Dark-eyed Junco,4,
Eastern VVood-Pewee,Eastern Wood-Pewee,4,
Golden-crowned Sparrow,,4,
Gray Partridge,,4,
Greenbacked Heron,Green-backed Heron,4,
Herring Gull,,4,
Le Conte's Thrasher,,4,
Lesser Nighthawk,,4,
Little Blue Heron,,4,
Pinyon Jay,,4,
Ring-necked Duck,,4,
Rough-winged Swallow,Northern Rough-winged Swallow,4,
Spotted Dove,,4,
Steller's jay,Steller's Jay,4,
Steller'sjay,Steller's Jay,4,
Swainson's Hawk,,4,
Vermilion Flycatcher,,4,
Williamson's Sapsucker,,4,
American Oystercatcher,,3,
American Wigeon,,3,
Black Swift,,3,
Blackheaded Grosbeak,Black-headed Grosbeak,3,
Brewer's Sparrow,,3,
Bufﬂehead,Bufflehead,3,
Cedar W'axwing,Cedar Waxwing,3,
Chickadee sp,Chickadee sp.,3,
Common Barn-Owl,Barn Owl,3,
Common Gracklc,Common Grackle,3,
Cray Catbird,Gray Catbird,3,
Great Black-backed Gull,,3,
Lark Bunting,,3,
Laughing Gull,,3,
Northern Roughwinged Swallow,Northern Rough-winged Swallow,3,
Pacificslope Flycatcher,Pacific-slope Flycatcher,3,
Pilcated Woodpecker,Pileated Woodpecker,3,
Red-bellied W'oodpecker,Red-bellied Woodpecker,3,
Redbreasted Sapsucker,Red-breasted Sapsucker,3,
Rubycrowned Kinglet,Ruby-crowned Kinglet,3,
Rufl'ed Grouse,Ruffed Grouse,3,
Ruﬂ'ed Grouse,Ruffed Grouse,3,
Sharp-tailed Sparrow,,3,taxonomy
Tufted Titrnouse,Tufted Titmouse,3,
VVarbling Vireo,Warbling Vireo,3,
Wilson's Phalarope,,3,
Wormeating Warbler,Worm-eating Warbler,3,
Yellow-billed Magpie,,3,
Yellow-crowned Night-Heron,,3,
Yellowbreasted Chat,Yellow-breasted Chat,3,
and American Goldfinch,American Goldfinch,2,
Ash-throath Flycatcher,Ash-throated Flycatcher,2,
Baybreasted Warbler,Bay-breasted Warbler,2,
Bell's Vireo,,2,
Black-and-white \Narbler,Black-and-white Warbler,2,
Black-throated Blue W'arbler,Black-throated Blue Warbler,2,
Black{apped Chickadee,Black-capped Chickadee,2,
Blackpoll Warbler,,2,
BlueAIay,Blue Jay,2,
Bluewinged Teal,Blue-winged Teal,2,
Boat-tailed Crackle,Boat-tailed Grackle,2,
Boat-tailed Grackle,,2,
Brown-headed Cowbird and Lawrence's Goldfinch,,2,split text
Cassin's Kingbird,,2,
Cedar VVaxwing,Cedar Waxwing,2,
Chestnutbacked Chickadee,Chestnut-backed Chickadee,2,
Common Bushtit,Bushtit,2,
Common Graekle,Common Grackle,2,
Common GroundDove,Common Ground-Dove,2,
Common Tern,,2,
Curve-billed Thrasher,,2,
